,country,city_name,code,guide_type,title
98,United Kingdom,London,66554,여행편의,"[인천공항 수령] 유럽 유심 - EE/Three 유심 3종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
99,Italy,Roma,37900,여행편의,로마 : 도심(테르미니역)→피우미치노 공항 편도 셔틀 버스(E티켓 제시)
100,France,Paris,53690,가이드 투어,"[감동1위:) 스냅작가 동행] 같이 걸어요,  파리야경 음악투어(스냅40장+a 제공)"
101,France,Paris,43462,가이드 투어,"[평점5.0/파리시내_하루]*소수정예* 핵심 관광명소 및 로컬장소까지, 파리시내 하루완성!"
102,France,Paris,2654,가이드 투어,[1+7이벤트]몽생미셸S야경투어+파리야경스냅투어+워킹투어6종제공+숙소샌딩#후기2500건이상
103,France,Paris,32624,가이드 투어,[투어] (공인해설사) 루브르 가이드 투어 :: 200분 핵심작품 관람 :: 프랑스/파리
104,France,Paris,40783,가이드 투어,"[평점4.9/파리야경_낭만]*소수정예* 파리시청에서 에펠탑까지, 영화속 파리로 떠나는 여행"
105,France,Paris,54450,가이드 투어,[감동1위:) 스냅작가 동행] 몽마르트&파리시내 완전정복+현지꿀팁까지! (스냅30장+a)
106,France,Paris,52174,가이드 투어,[평점4.9/파리근교_감성]★베르사유궁전 내부설명포함★+정원+지베르니+고흐마을(*얼리버드)
107,France,Paris,50051,가이드 투어,"[투어] (소규모) 당신의 인생 오르세 미술관 투어, 강효주 공인 가이드와 빠른입장 (프랑스/파리)"
108,France,Paris,61875,티켓/교통패스,[바로사용] 파리 바토무슈 유람선(크루즈) 탑승권 티켓
109,United Kingdom,London,66554,여행편의,"[인천공항 수령] 유럽 유심 - EE/Three 유심 3종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
110,Greece,Athens,41487,가이드 투어,[투어] 아테네 맞춤 워킹 투어 :: 그리스/아테네
111,Greece,Athens,72801,가이드 투어,[투어] 아테네와 포세이돈 신전 차량투어 (그리스/아테네)
112,Greece,Santorini,60155,스냅촬영,[스냅] 로컬만 아는 숨겨진 스팟에서의 스냅촬영 (그리스/산토리니)
113,Greece,Athens,48293,가이드 투어,[투어] 전세계 가족들과 함께하는 그리스 9박 10일 힐링여행 :: 그리스/아테네
114,Greece,Delphi,41876,가이드 투어,[투어] 1일 델피(Delfi) 투어 :: 그리스/델포이
115,Greece,Corinth,41247,가이드 투어,1일 아테네와 고린도 맞춤 차량 투어
116,Greece,Athens,39358,여행편의,아테네 맞춤 픽업/샌딩 : 그리스/아테네
117,Greece,Athens,30028,가이드 투어,"유일한 고대 아테네 문화산책 투어,  페리파토"
118,United Kingdom,London,66554,여행편의,"[인천공항 수령] 유럽 유심 - EE/Three 유심 3종 / (영국 유심, 프랑스 유심, 독일 유심, 이탈리아 유심, 스페인 유심, 유럽 주요국가 사용 가능)"
119,France,Paris,53666,여행편의,"[공항유심] -더블데이터 프로모션 - KPN유심, TDC유심, 쓰리유심 ( 수령비 무료)"
120,Montenegro,Kotor,22345,가이드 투어,몬테네그로 일일투어 / 두브로브니크 출발 
121,Montenegro,Hercegnovi,77052,액티비티,헤르체크노비 출발 : 타라강에서 즐기는 급류 래프팅 투어
122,Montenegro,Tivat,77051,액티비티,티바트 출발 : 타라강에서 즐기는 급류 래프팅 투어
123,Montenegro,Kotor,77050,액티비티,부드바 출발 : 타라강에서 즐기는 급류 래프팅 투어
124,Montenegro,Kotor,77047,가이드 투어,헤르체그노비 출발 : 코토르 보카 베이 크루즈 투어
125,Montenegro,Kotor,77046,가이드 투어,티바트 출발 : 코토르 보카 베이 크루즈 투어
126,Montenegro,Hercegnovi,77040,가이드 투어,헤르체그노비 출발 : 몬테네그로 일일 투어 (로브첸 국립공원 포함)
127,Montenegro,Tivat,77039,가이드 투어,티바트 출발 : 몬테네그로 일일 투어 (로브첸 국립공원 포함)
128,Montenegro,Kotor,77049,액티비티,코토르 : 타라강에서 즐기는 급류 래프팅 투어
129,Montenegro,Budva,77037,가이드 투어,부드바 출발 : 몬테네그로 일일 투어 (로브첸 국립공원 포함)
130,Malta,Malta,73487,가이드 투어,[투어] 걸어서 세계 속으로 메인 코디의 몰타 전일 투어 (몰타/발레타/라밧/임디나)
131,Malta,Malta,73602,가이드 투어,[투어]걸어서 세계 속으로 메인 코디의 고조섬 전일 투어(택시비포함) (몰타/고조)
132,Malta,Malta,73284,가이드 투어,[투어] 걸어서 세계속으로 메인 코디의 성지순례 전일투어(입장료포함) (몰타/임디나)
133,Malta,Malta,62035,가이드 투어,[투어]걸어서세계속으로 메인코디의 라밧-임디나 반일 투어(입장료 포함)(몰타/라밧/임디나)
134,Malta,Malta,58667,가이드 투어,[투어]걸어서세계속으로 메인코디의 수도발레타 반일투어(입장료포함) (몰타/발레타)
135,Malta,Valleta,58646,스냅촬영,[스냅] (2시간) 몰타의 수도 발레타 스냅 촬영 (몰타/발레타)
136,Malta,Malta,47381,가이드 투어,[투어] 한국인 투어 코디와 함께하는 발레타 - 임디나 - 라밧 원데이 투어
137,Malta,Valleta,45020,가이드 투어,[투어] 한국인 투어 코디와 함께하는 발레타 워킹 투어 :: 몰타/발레타
138,Malta,Malta,82431,레스토랑,[몰타] 우아한 한끼 식사! 몰타 전통 포크댄스 디너쇼
139,Malta,Malta,79392,가이드 투어,몰타 : 여유 가득 크루즈 종일 투어 
140,Croatia,Dubrovnik,25575,가이드 투어,크로아티아지역 및 보스니아 헤르체고비나 & 메주고리 여행 [3박4일]
141,Bosnia and Herzegovina,Mostar,52976,가이드 투어,"[차량이동] 두브로브니크 출발, 모스타르 1일투어 (보스니아/모스타르)"
142,Croatia,Dubrovnik,51399,가이드 투어,두브로브니크 출발 : 보스니아 & 헤르체고비나 일일 투어
143,Croatia,Dubrovnik,37577,가이드 투어,두브로브니크에서 출발하는 모스타르 & 크라비체 폭포 종일 투어
144,Bosnia and Herzegovina,Sarajevo,34439,가이드 투어,사라예보에서 떠나는 가톨릭 성지 '메주고리예' 원데이 투어
145,Bosnia and Herzegovina,Sarajevo,34438,가이드 투어,다양한 문화를 느낄 수 있는 '사라예보' 가이드 워킹 투어
146,Bosnia and Herzegovina,Sarajevo,34437,가이드 투어,사라예보 출발: 중세시대를 간직한 야이체 & 트라브니크 원데이 투어 
147,Bosnia and Herzegovina,Mostar,34436,가이드 투어,"[사라예보 출발] 헤르체고비나의 코니츠, 모스타르, 블라가이 일일 투어"
148,Bosnia and Herzegovina,Sarajevo,34434,가이드 투어,'유럽의 피라미드' 사라예보 미스테리 투어
149,Cyprus,Protaras,62653,가이드 투어," [투어] 블루라군, 지중해 뽀개기 투어 (사이프러스/아이아나파)"
150,Cyprus,Paphos,79729,티켓/교통패스,파포스 : 아프로디테 워터파크 입장권
